State of University,Name of University,State of Regional Center,District of Regional Center,Level,Total Enrolment Male,Total Enrolment Female,Total Enrolment
Tamil Nadu,"Meenakshri Academy of Higher Education and Research, Chennai (Id: U-0465)",Tamil Nadu,Chennai,Under Graduate,238,225,463
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Puducherry,Puducherry,Under Graduate,0,1,1
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Punjab,Patiala,Under Graduate,0,1,1
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Punjab,Patiala,Post Graduate,0,1,1
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Coimbatore,PG Diploma,0,3,3
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Coimbatore,Under Graduate,0,1,1
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Dindigul,Under Graduate,0,328,328
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Dindigul,PG Diploma,0,4,4
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Dindigul,Post Graduate,0,215,215
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Kanniyakumari,Under Graduate,0,4,4
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Krishnagiri,Post Graduate,0,17,17
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Krishnagiri,Under Graduate,0,9,9
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Madurai,Under Graduate,0,28,28
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Namakkal,Under Graduate,0,4,4
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Ramanathapuram,Post Graduate,0,15,15
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Ramanathapuram,Under Graduate,0,12,12
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Salem,Under Graduate,0,22,22
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Theni,Under Graduate,0,19,19
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Thoothukkudi,Certificate,0,46,46
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Thoothukkudi,Post Graduate,0,6,6
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Thoothukkudi,Under Graduate,0,11,11
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Tiruppur,Under Graduate,0,36,36
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Tiruppur,Post Graduate,0,26,26
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Vellore,Post Graduate,0,12,12
Tamil Nadu,"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",Tamil Nadu,Vellore,Under Graduate,0,18,18
Tamil Nadu,"Periyar University, Salem (Id: U-0470)",Tamil Nadu,Salem,PG Diploma,100,41,141
Tamil Nadu,"Periyar University, Salem (Id: U-0470)",Tamil Nadu,Salem,Diploma,169,141,310
Tamil Nadu,"Periyar University, Salem (Id: U-0470)",Tamil Nadu,Salem,Certificate,11,13,24
Tamil Nadu,"Periyar University, Salem (Id: U-0470)",Tamil Nadu,Salem,Post Graduate,6397,3429,9826
Tamil Nadu,"Periyar University, Salem (Id: U-0470)",Tamil Nadu,Salem,Under Graduate,12943,4380,17323
Tamil Nadu,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur (Id: U-0476)",Tamil Nadu,Chennai,Under Graduate,24,181,205
Tamil Nadu,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur (Id: U-0476)",Tamil Nadu,Chennai,Post Graduate,0,68,68
Tamil Nadu,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur (Id: U-0476)",Tamil Nadu,Coimbatore,Under Graduate,48,152,200
Tamil Nadu,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur (Id: U-0476)",Tamil Nadu,Madurai,Under Graduate,35,165,200
Tamil Nadu,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur (Id: U-0476)",Tamil Nadu,Thanjavur,Under Graduate,86,314,400
Tamil Nadu,"St. Peter's Institute of Higher Education and Research, Chennai (Id: U-0479)",Tamil Nadu,Thiruvallur,Post Graduate,258,132,390
Tamil Nadu,"St. Peter's Institute of Higher Education and Research, Chennai (Id: U-0479)",Tamil Nadu,Thiruvallur,Under Graduate,431,188,619
Tamil Nadu,"Tamil Nadu Dr. Ambedkar Law University, Chennai (Id: U-0480)",Tamil Nadu,Chennai,PG Diploma,16,41,57
Tamil Nadu,"Tamil Nadu Dr. M.G.R. Medical University , Chennai (Id: U-0481)",Tamil Nadu,Chennai,PG Diploma,6,2,8
Tamil Nadu,"Tamil Nadu Open University, Chennai (Id: U-0482)",Tamil Nadu,Chennai,Under Graduate,33905,23746,57651
Tamil Nadu,"Tamil Nadu Open University, Chennai (Id: U-0482)",Tamil Nadu,Chennai,Post Graduate,5847,6163,12010
Tamil Nadu,"Tamil Nadu Open University, Chennai (Id: U-0482)",Tamil Nadu,Chennai,Diploma,1553,3236,4789
Tamil Nadu,"Tamil Nadu Open University, Chennai (Id: U-0482)",Tamil Nadu,Chennai,PG Diploma,152,82,234
Tamil Nadu,"Tamil Nadu Open University, Chennai (Id: U-0482)",Tamil Nadu,Chennai,Certificate,46,87,133
Tamil Nadu,"Tamilnadu Physical Education and Sports University, Chennai (Id: U-0486)",Tamil Nadu,Kancheepuram,Post Graduate,619,0,619
Tamil Nadu,"Tamilnadu Physical Education and Sports University, Chennai (Id: U-0486)",Tamil Nadu,Kancheepuram,Under Graduate,102,0,102
Tamil Nadu,"Tamilnadu Physical Education and Sports University, Chennai (Id: U-0486)",Tamil Nadu,Kancheepuram,Certificate,72,0,72
Tamil Nadu,"Tamilnadu Physical Education and Sports University, Chennai (Id: U-0486)",Tamil Nadu,Kancheepuram,Diploma,171,0,171
Tamil Nadu,"Tamilnadu Physical Education and Sports University, Chennai (Id: U-0486)",Tamil Nadu,Kancheepuram,PG Diploma,447,0,447
Tamil Nadu,"Tamilnadu Veterinary & Animal Sciences University, Chennai (Id: U-0487)",Tamil Nadu,Chennai,PG Diploma,66,18,84
Tamil Nadu,"Tamil Univesity, Thanjavur (Id: U-0484)",Tamil Nadu,Thanjavur,PG Diploma,8,12,20
Tamil Nadu,"Tamil Univesity, Thanjavur (Id: U-0484)",Tamil Nadu,Thanjavur,Under Graduate,1189,1864,3053
Tamil Nadu,"Tamil Univesity, Thanjavur (Id: U-0484)",Tamil Nadu,Thanjavur,Post Graduate,494,741,1235
Tamil Nadu,"Tamil Univesity, Thanjavur (Id: U-0484)",Tamil Nadu,Thanjavur,Diploma,53,108,161
Tamil Nadu,"Tamil Univesity, Thanjavur (Id: U-0484)",Tamil Nadu,Thanjavur,Certificate,300,670,970
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Delhi,New Delhi,Post Graduate,8201,4584,12785
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Delhi,New Delhi,PG Diploma,518,265,783
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Delhi,New Delhi,Under Graduate,21465,8693,30158
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Delhi,New Delhi,Certificate,7,7,14
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Delhi,New Delhi,Diploma,477,157,634
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Madhya Pradesh,Indore,Post Graduate,9301,3394,12695
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Madhya Pradesh,Indore,Under Graduate,17398,9997,27395
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Madhya Pradesh,Indore,Certificate,24,24,48
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Madhya Pradesh,Indore,PG Diploma,221,61,282
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Madhya Pradesh,Indore,Diploma,336,104,440
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Maharashtra,Mumbai,Diploma,197,46,243
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Maharashtra,Mumbai,Post Graduate,2611,953,3564
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Maharashtra,Mumbai,PG Diploma,103,37,140
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Maharashtra,Mumbai,Under Graduate,4957,1573,6530
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Maharashtra,Mumbai,Certificate,13,6,19
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Tamil Nadu,Chennai,Under Graduate,5419,3065,8484
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Tamil Nadu,Chennai,Certificate,27,42,69
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Tamil Nadu,Chennai,Diploma,140,84,224
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Tamil Nadu,Chennai,PG Diploma,39,6,45
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",Tamil Nadu,Chennai,Post Graduate,3123,1567,4690
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",West Bengal,Kolkata,Certificate,0,0,0
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",West Bengal,Kolkata,Diploma,102,19,121
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",West Bengal,Kolkata,Post Graduate,2285,693,2978
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",West Bengal,Kolkata,PG Diploma,48,7,55
Tamil Nadu,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM (Id: U-0492)",West Bengal,Kolkata,Under Graduate,4976,1810,6786
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Anantapur,Under Graduate,1618,1533,3151
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Anantapur,Post Graduate,122,155,277
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Chittoor,Under Graduate,3640,3298,6938
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Chittoor,Post Graduate,205,215,420
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,East Godavari,Under Graduate,2675,2173,4848
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,East Godavari,Post Graduate,459,489,948
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Guntur,Post Graduate,209,166,375
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Guntur,Under Graduate,1467,1121,2588
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Krishna,Certificate,13,7,20
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Krishna,PG Diploma,19,32,51
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Krishna,Under Graduate,2160,1621,3781
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Krishna,Post Graduate,117,127,244
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Kurnool,Under Graduate,3658,3123,6781
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Kurnool,Post Graduate,396,384,780
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Prakasam,Under Graduate,2770,1969,4739
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Srikakulam,Post Graduate,372,290,662
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Srikakulam,Under Graduate,3384,2354,5738
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Sri Potti Sriramulu Nellore,Under Graduate,2251,1911,4162
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Sri Potti Sriramulu Nellore,Post Graduate,171,183,354
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Visakhapatnam,PG Diploma,12,13,25
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Visakhapatnam,Under Graduate,1986,1214,3200
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Visakhapatnam,Post Graduate,606,509,1115
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Vizianagaram,Post Graduate,33,18,51
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Vizianagaram,Under Graduate,690,507,1197
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,West Godavari,Under Graduate,1310,1091,2401
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Y.S.R.,Under Graduate,4130,2733,6863
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Andhra Pradesh,Y.S.R.,Post Graduate,251,271,522
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Adilabad,Post Graduate,165,147,312
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Adilabad,Under Graduate,2999,2305,5304
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Hyderabad,Under Graduate,18133,14794,32927
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Hyderabad,Post Graduate,1780,1763,3543
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Hyderabad,PG Diploma,212,135,347
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Hyderabad,Certificate,49,29,78
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Karimnagar,Under Graduate,4155,3586,7741
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Karimnagar,Post Graduate,678,783,1461
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Khammam,Under Graduate,4022,3023,7045
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Khammam,Post Graduate,389,433,822
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Mahbubnagar,PG Diploma,12,11,23
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Mahbubnagar,Under Graduate,9399,6305,15704
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Mahbubnagar,Post Graduate,574,560,1134
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Medak,PG Diploma,172,193,365
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Medak,Post Graduate,260,239,499
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Medak,Under Graduate,5836,4405,10241
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Nalgonda,Post Graduate,465,399,864
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Nalgonda,Under Graduate,6457,4504,10961
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Nizamabad,Under Graduate,3763,3100,6863
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Nizamabad,Post Graduate,376,435,811
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Nizamabad,PG Diploma,29,21,50
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Rangareddy,Under Graduate,4519,2927,7446
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Rangareddy,Post Graduate,18,2,20
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Warangal,Under Graduate,4580,2805,7385
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Warangal,Certificate,6,10,16
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Warangal,PG Diploma,30,7,37
Telangana,"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",Telangana,Warangal,Post Graduate,764,557,1321
Telangana,"Kakatiya University, Warangal (Id: U-0019)",Telangana,Warangal,Under Graduate,10111,5943,16054
Telangana,"Kakatiya University, Warangal (Id: U-0019)",Telangana,Warangal,Post Graduate,2882,3082,5964
Telangana,"Kakatiya University, Warangal (Id: U-0019)",Telangana,Warangal,PG Diploma,81,26,107
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Bihar,Darbhanga,Under Graduate,2978,2427,5405
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Bihar,Darbhanga,Post Graduate,213,180,393
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Bihar,Patna,Under Graduate,388,350,738
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Bihar,Patna,Post Graduate,162,182,344
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Delhi,New Delhi,Post Graduate,213,180,393
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Delhi,New Delhi,Under Graduate,1611,526,2137
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Jammu and Kashmir,Jammu,Under Graduate,1721,1141,2862
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Jammu and Kashmir,Jammu,Post Graduate,373,239,612
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Jammu and Kashmir,Srinagar,Under Graduate,1134,526,1660
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Jammu and Kashmir,Srinagar,Post Graduate,1856,1366,3222
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Jharkhand,Ranchi,Post Graduate,213,180,393
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Jharkhand,Ranchi,Under Graduate,573,302,875
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Karnataka,Bangalore,Post Graduate,294,436,730
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Karnataka,Bangalore,Under Graduate,982,1630,2612
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Madhya Pradesh,Bhopal,Post Graduate,199,193,392
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Madhya Pradesh,Bhopal,Under Graduate,628,309,937
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Maharashtra,Amravati,Post Graduate,256,179,435
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Maharashtra,Amravati,Under Graduate,1681,1388,3069
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Maharashtra,Mumbai,Post Graduate,412,183,595
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Maharashtra,Mumbai,Under Graduate,1796,2602,4398
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Telangana,Hyderabad,Post Graduate,199,193,392
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",Telangana,Hyderabad,Under Graduate,896,1802,2698
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",West Bengal,Kolkata,Post Graduate,306,374,680
Telangana,"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",West Bengal,Kolkata,Under Graduate,815,708,1523
Telangana,National Academy of Legal Studies & Research (NALSR) University Hyderabad (Id: U-0024),Telangana,Rangareddy,PG Diploma,555,343,898
Telangana,"Osmania University, Hyderabad (Id: U-0027)",Telangana,Hyderabad,PG Diploma,571,241,812
Telangana,"Osmania University, Hyderabad (Id: U-0027)",Telangana,Hyderabad,Diploma,17,1,18
Telangana,"Osmania University, Hyderabad (Id: U-0027)",Telangana,Hyderabad,Under Graduate,5345,3905,9250
Telangana,"Osmania University, Hyderabad (Id: U-0027)",Telangana,Hyderabad,Post Graduate,7919,10319,18238
Telangana,"The English and Foreign Languages University, Hyderabad (Id: U-0041)",Telangana,Hyderabad,PG Diploma,37,28,65
Telangana,"The English and Foreign Languages University, Hyderabad (Id: U-0041)",Telangana,Hyderabad,Post Graduate,0,0,0
Telangana,"University of Hyderabad, Hyderabad (Id: U-0042)",Telangana,Rangareddy,PG Diploma,520,264,784
Tripura,"Tripura University, Agartala (Id: U-0495)",Tripura,West Tripura,Post Graduate,1827,1656,3483
Tripura,"Tripura University, Agartala (Id: U-0495)",Tripura,West Tripura,Under Graduate,2558,1638,4196
Uttar Pradesh,"Aligarh Muslim University, Aligarh (Id: U-0496)",Uttar Pradesh,Aligarh,PG Diploma,185,0,185
Uttar Pradesh,"Aligarh Muslim University, Aligarh (Id: U-0496)",Uttar Pradesh,Aligarh,Diploma,55,0,55
Uttar Pradesh,"Aligarh Muslim University, Aligarh (Id: U-0496)",Uttar Pradesh,Aligarh,Under Graduate,1436,0,1436
Uttar Pradesh,"Aligarh Muslim University, Aligarh (Id: U-0496)",Uttar Pradesh,Aligarh,Certificate,15,0,15
Uttar Pradesh,"Amity University, Gautam Budh Nagar (Id: U-0497)",Uttar Pradesh,Gautam Buddha Nagar,Under Graduate,238,0,238
Uttar Pradesh,"Amity University, Gautam Budh Nagar (Id: U-0497)",Uttar Pradesh,Gautam Buddha Nagar,Post Graduate,3416,0,3416
Uttar Pradesh,"Amity University, Gautam Budh Nagar (Id: U-0497)",Uttar Pradesh,Gautam Buddha Nagar,PG Diploma,168,0,168
Uttar Pradesh,"Dayalbagh Educational Institute, Agra (Id: U-0507)",Uttar Pradesh,Agra,Certificate,1159,805,1964
Uttar Pradesh,"Dayalbagh Educational Institute, Agra (Id: U-0507)",Uttar Pradesh,Agra,PG Diploma,95,110,205
Uttar Pradesh,"Dayalbagh Educational Institute, Agra (Id: U-0507)",Uttar Pradesh,Agra,Under Graduate,260,209,469
Uttar Pradesh,"Dayalbagh Educational Institute, Agra (Id: U-0507)",Uttar Pradesh,Agra,Post Graduate,128,55,183
Uttar Pradesh,"Sam Higginbottom Institute of Agriculture, Technology & Sciences, Allahabad (Id: U-0536)",Uttar Pradesh,Allahabad,Under Graduate,17610,8524,26134
Uttar Pradesh,"Sam Higginbottom Institute of Agriculture, Technology & Sciences, Allahabad (Id: U-0536)",Uttar Pradesh,Allahabad,Post Graduate,15131,8900,24031
Uttar Pradesh,"Sam Higginbottom Institute of Agriculture, Technology & Sciences, Allahabad (Id: U-0536)",Uttar Pradesh,Allahabad,PG Diploma,565,257,822
Uttar Pradesh,"Sam Higginbottom Institute of Agriculture, Technology & Sciences, Allahabad (Id: U-0536)",Uttar Pradesh,Allahabad,Diploma,57,12,69
Uttar Pradesh,"Swami Vivekananda Subharti University, Meerut (Id: U-0543)",Uttar Pradesh,Lucknow,Diploma,54,18,72
Uttar Pradesh,"Swami Vivekananda Subharti University, Meerut (Id: U-0543)",Uttar Pradesh,Lucknow,Under Graduate,3843,1681,5524
Uttar Pradesh,"Swami Vivekananda Subharti University, Meerut (Id: U-0543)",Uttar Pradesh,Lucknow,Post Graduate,1635,960,2595
Uttar Pradesh,"Swami Vivekananda Subharti University, Meerut (Id: U-0543)",Uttar Pradesh,Lucknow,PG Diploma,1491,771,2262
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Allahabad,PG Diploma,147,47,194
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Allahabad,Under Graduate,377,171,548
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Allahabad,Diploma,32,23,55
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Allahabad,Post Graduate,178,93,271
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Bareilly,Under Graduate,104,251,355
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Bareilly,PG Diploma,42,7,49
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Bareilly,Diploma,15,23,38
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Bareilly,Post Graduate,85,122,207
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Gorakhpur,Post Graduate,104,20,124
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Gorakhpur,Under Graduate,414,150,564
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Gorakhpur,Diploma,15,24,39
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Gorakhpur,PG Diploma,38,9,47
Uttar Pradesh,"U.P. Rajarshi Tandon Open University, Allahabad (Id: U-0546)",Uttar Pradesh,Lucknow,PG Diploma,137,56,193
